OMRÅDE;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;2020K3;5825337
Region Hovedstaden;I alt;2020K3;1847289
København;I alt;2020K3;633035
Frederiksberg;I alt;2020K3;104118
Dragør;I alt;2020K3;14515
Tårnby;I alt;2020K3;42785
Albertslund;I alt;2020K3;27543
Ballerup;I alt;2020K3;48916
Brøndby;I alt;2020K3;35112
Gentofte;I alt;2020K3;74773
Gladsaxe;I alt;2020K3;69109
Glostrup;I alt;2020K3;23322
Herlev;I alt;2020K3;28933
Hvidovre;I alt;2020K3;53422
Høje-Taastrup;I alt;2020K3;50923
Ishøj;I alt;2020K3;23018
Lyngby-Taarbæk;I alt;2020K3;56046
Rødovre;I alt;2020K3;40848
Vallensbæk;I alt;2020K3;16510
Allerød;I alt;2020K3;25637
Egedal;I alt;2020K3;43424
Fredensborg;I alt;2020K3;40971
Frederikssund;I alt;2020K3;45425
Furesø;I alt;2020K3;41011
Gribskov;I alt;2020K3;41135
Halsnæs;I alt;2020K3;31537
Helsingør;I alt;2020K3;62966
Hillerød;I alt;2020K3;51234
Hørsholm;I alt;2020K3;24814
Rudersdal;I alt;2020K3;56623
Bornholm;I alt;2020K3;39497
Christiansø;I alt;2020K3;87
Region Sjælland;I alt;2020K3;837834
Greve;I alt;2020K3;50520
Køge;I alt;2020K3;61184
Lejre;I alt;2020K3;28107
Roskilde;I alt;2020K3;88456
Solrød;I alt;2020K3;23347
Faxe;I alt;2020K3;36647
Guldborgsund;I alt;2020K3;60433
Holbæk;I alt;2020K3;71685
Kalundborg;I alt;2020K3;48374
Lolland;I alt;2020K3;40816
Næstved;I alt;2020K3;83165
Odsherred;I alt;2020K3;32955
Ringsted;I alt;2020K3;34852
Slagelse;I alt;2020K3;79155
Sorø;I alt;2020K3;29872
Stevns;I alt;2020K3;22840
Vordingborg;I alt;2020K3;45426
Region Syddanmark;I alt;2020K3;1222967
Assens;I alt;2020K3;40903
Faaborg-Midtfyn;I alt;2020K3;51571
Kerteminde;I alt;2020K3;23824
Langeland;I alt;2020K3;12395
Middelfart;I alt;2020K3;38998
Nordfyns;I alt;2020K3;29631
Nyborg;I alt;2020K3;31933
Odense;I alt;2020K3;204718
Svendborg;I alt;2020K3;58261
Ærø;I alt;2020K3;5987
Billund;I alt;2020K3;26560
Esbjerg;I alt;2020K3;115650
Fanø;I alt;2020K3;3486
Fredericia;I alt;2020K3;51386
Haderslev;I alt;2020K3;55518
Kolding;I alt;2020K3;92995
Sønderborg;I alt;2020K3;74083
Tønder;I alt;2020K3;37174
Varde;I alt;2020K3;49886
Vejen;I alt;2020K3;42805
Vejle;I alt;2020K3;116468
Aabenraa;I alt;2020K3;58735
Region Midtjylland;I alt;2020K3;1327410
Favrskov;I alt;2020K3;48393
Hedensted;I alt;2020K3;46731
Horsens;I alt;2020K3;91469
Norddjurs;I alt;2020K3;36994
Odder;I alt;2020K3;22888
Randers;I alt;2020K3;98122
Samsø;I alt;2020K3;3651
Silkeborg;I alt;2020K3;94648
Skanderborg;I alt;2020K3;63070
Syddjurs;I alt;2020K3;43107
Aarhus;I alt;2020K3;349433
Herning;I alt;2020K3;89411
Holstebro;I alt;2020K3;58685
Ikast-Brande;I alt;2020K3;41395
Lemvig;I alt;2020K3;19662
Ringkøbing-Skjern;I alt;2020K3;56366
Skive;I alt;2020K3;45728
Struer;I alt;2020K3;20951
Viborg;I alt;2020K3;96706
Region Nordjylland;I alt;2020K3;589837
Brønderslev;I alt;2020K3;36295
Frederikshavn;I alt;2020K3;59353
Hjørring;I alt;2020K3;64450
Jammerbugt;I alt;2020K3;38357
Læsø;I alt;2020K3;1776
Mariagerfjord;I alt;2020K3;41687
Morsø;I alt;2020K3;20214
Rebild;I alt;2020K3;30359
Thisted;I alt;2020K3;43383
Vesthimmerlands;I alt;2020K3;36647
Aalborg;I alt;2020K3;217316
